Week,Nino1+2 SST,Nino1+2 SSTA,Nino3 SST,Nino3 SSTA,Nino34 SST,Nino34 SSTA,Nino4 SST, Nino4 SSTA
3-Jan-90,23.4,-0.4,25.1,-0.3,26.6,0,28.6,0.3
10-Jan-90,23.4,-0.8,25.2,-0.3,26.6,0.1,28.6,0.3
17-Jan-90,24.2,-0.3,25.3,-0.3,26.5,-0.1,28.6,0.3
24-Jan-90,24.4,-0.5,25.5,-0.4,26.5,-0.1,28.4,0.2
31-Jan-90,25.1,-0.2,25.8,-0.2,26.7,0.1,28.4,0.2
7-Feb-90,25.8,0.2,26.1,-0.1,26.8,0.1,28.4,0.3
14-Feb-90,25.9,-0.1,26.4,0,26.9,0.2,28.5,0.4
21-Feb-90,26.1,-0.1,26.7,0.2,27.1,0.3,28.9,0.8
28-Feb-90,26.1,-0.2,26.7,-0.1,27.2,0.3,29,0.8
7-Mar-90,26.7,0.3,26.7,-0.2,27.3,0.2,28.9,0.7
14-Mar-90,26.1,-0.4,26.9,-0.2,27.3,0.1,28.6,0.4
21-Mar-90,26.1,-0.2,27.2,0,27.6,0.3,28.7,0.5
28-Mar-90,25.7,-0.4,27.5,0.2,27.8,0.3,28.8,0.5
4-Apr-90,25.6,-0.3,27.6,0.3,27.9,0.4,28.8,0.4
11-Apr-90,25.1,-0.6,27.6,0.2,27.9,0.2,28.8,0.3
18-Apr-90,25.3,0,27.7,0.2,28,0.2,28.9,0.4
25-Apr-90,25.1,0,27.8,0.4,28.2,0.4,29.2,0.6
2-May-90,24.6,-0.2,27.6,0.3,28.1,0.3,29,0.4
9-May-90,24.2,-0.2,27.5,0.3,28.1,0.3,28.9,0.2
16-May-90,24.3,0.1,27.4,0.3,28,0.2,28.8,0.1
23-May-90,23.7,-0.2,27.2,0.2,28.1,0.3,29,0.2
30-May-90,23.4,-0.1,27.1,0.3,27.9,0.2,28.9,0.1
6-Jun-90,23.2,0,26.7,0.1,27.7,0,28.9,0.1
13-Jun-90,22.8,-0.2,26.6,0.1,27.7,0,29,0.1
20-Jun-90,22.5,-0.1,26.4,0,27.5,-0.1,29,0.1
27-Jun-90,22.1,-0.3,26,-0.1,27.3,-0.2,28.9,0.1
4-Jul-90,21.7,-0.4,25.8,-0.2,27.3,-0.1,28.9,0.1
11-Jul-90,21.3,-0.5,25.4,-0.3,27.2,-0.1,28.8,0
18-Jul-90,21,-0.5,25.7,0.1,27.4,0.2,29.1,0.3
25-Jul-90,20.2,-1.1,25.1,-0.4,27.3,0.1,29.1,0.3
1-Aug-90,20.6,-0.6,25.1,-0.2,27.1,0.1,29,0.3
8-Aug-90,20.4,-0.5,25.2,0.1,27.2,0.3,29.3,0.6
15-Aug-90,20.4,-0.3,25.1,0.1,27,0.2,29.2,0.5
22-Aug-90,19.8,-0.7,24.9,0,27,0.2,29.2,0.5
29-Aug-90,20.2,-0.3,25,0.1,26.9,0.2,29,0.4
5-Sep-90,19.7,-0.8,24.9,0,26.7,0,28.9,0.3
12-Sep-90,20.1,-0.3,24.7,-0.2,26.7,0,29.1,0.4
19-Sep-90,20.3,-0.1,24.9,0.1,26.8,0,29.1,0.4
26-Sep-90,20.3,-0.2,24.8,-0.1,26.7,0,29,0.3
3-Oct-90,20.8,0.1,25.1,0.2,26.9,0.2,29.2,0.5
10-Oct-90,20.1,-0.6,24.9,0,27,0.3,29.1,0.5
17-Oct-90,20.3,-0.6,24.9,0,27,0.3,29.3,0.6
24-Oct-90,20.1,-0.9,24.9,-0.1,27,0.4,29.3,0.6
31-Oct-90,20.2,-1,24.7,-0.2,26.9,0.2,29.2,0.6
7-Nov-90,20.5,-0.8,25,0.1,27,0.3,29.1,0.5
14-Nov-90,20.8,-0.8,24.8,-0.1,26.7,0,29,0.4
21-Nov-90,20.9,-0.9,24.6,-0.4,26.6,0,29,0.4
28-Nov-90,21.5,-0.6,24.8,-0.3,26.5,-0.1,28.9,0.4
5-Dec-90,22.2,-0.2,25.2,0.1,26.9,0.3,29.2,0.7
12-Dec-90,22.1,-0.5,25,-0.1,26.8,0.3,29.3,0.8
19-Dec-90,22.2,-0.8,24.9,-0.3,26.9,0.4,29.2,0.7
26-Dec-90,23.3,0,25.3,0,27,0.4,29,0.6
2-Jan-91,23.2,-0.5,25.3,-0.1,26.9,0.4,28.9,0.5
9-Jan-91,23.5,-0.6,25.4,-0.1,27,0.4,29.1,0.8
16-Jan-91,23.7,-0.7,25.7,0.1,27,0.5,29,0.8
23-Jan-91,24.2,-0.6,25.8,0,27.1,0.5,29,0.8
30-Jan-91,24.7,-0.5,26,0,27,0.3,28.9,0.7
6-Feb-91,25.4,-0.2,26.1,0,27,0.3,28.8,0.6
13-Feb-91,26,0,26.3,0,27,0.3,28.8,0.7
20-Feb-91,26.5,0.3,26.3,-0.2,26.9,0.1,28.7,0.6
27-Feb-91,26.5,0.2,26.5,-0.2,26.8,-0.1,28.5,0.4
6-Mar-91,26.5,0.2,26.6,-0.3,26.8,-0.2,28.5,0.3
13-Mar-91,26.8,0.4,27,-0.1,27.1,-0.1,28.5,0.3
20-Mar-91,26.6,0.2,27.1,-0.1,27.4,0.1,28.6,0.4
27-Mar-91,26.2,0.1,27.4,0.1,27.7,0.3,28.9,0.6
3-Apr-91,25.8,-0.1,27.3,0,27.8,0.2,28.9,0.5
10-Apr-91,25.2,-0.5,27,-0.4,27.8,0.1,29.1,0.7
17-Apr-91,24.9,-0.5,27.5,0,28.2,0.4,29.2,0.7
24-Apr-91,24.3,-0.8,27.4,0,28.1,0.3,29.2,0.6
1-May-91,24.6,-0.2,27.6,0.4,28.1,0.3,29.1,0.4
8-May-91,24.4,-0.2,27.5,0.3,28.3,0.5,29.3,0.6
15-May-91,24.5,0.2,27.5,0.4,28.4,0.5,29.5,0.7
22-May-91,24.3,0.4,27.7,0.7,28.5,0.7,29.5,0.7
29-May-91,24.2,0.5,27.6,0.8,28.5,0.7,29.5,0.7
5-Jun-91,23.7,0.4,27.5,0.8,28.3,0.6,29.3,0.5
12-Jun-91,23.2,0.2,27.4,0.9,28.3,0.6,29.3,0.5
19-Jun-91,23,0.3,27.2,0.9,28.4,0.8,29.4,0.5
26-Jun-91,22.2,-0.2,27.3,1.1,28.4,0.9,29.4,0.6
3-Jul-91,22.8,0.7,27,1,28.1,0.7,29.2,0.4
10-Jul-91,22.3,0.4,26.8,1,28.1,0.8,29.2,0.4
17-Jul-91,21.9,0.3,26.6,1,27.9,0.7,29.3,0.5
24-Jul-91,21.6,0.3,26.2,0.7,27.7,0.5,29.2,0.5
31-Jul-91,21.6,0.5,26.1,0.8,27.9,0.9,29.5,0.7
7-Aug-91,21.2,0.3,25.6,0.4,27.5,0.6,29.3,0.6
14-Aug-91,21.3,0.5,25.4,0.4,27.6,0.7,29.3,0.6
21-Aug-91,20.9,0.3,25.4,0.5,27.4,0.6,29.3,0.6
28-Aug-91,20.7,0.2,25.2,0.3,27,0.3,29,0.3
4-Sep-91,20.9,0.4,25.1,0.2,27.1,0.3,29.1,0.5
11-Sep-91,20.7,0.3,24.7,-0.1,26.9,0.1,29,0.4
18-Sep-91,20.7,0.3,25.1,0.2,27.2,0.5,29.4,0.7
25-Sep-91,20.8,0.3,25.2,0.3,27.1,0.4,29.2,0.5
2-Oct-91,20.8,0.2,25.3,0.4,27.2,0.5,29.3,0.6
9-Oct-91,21.1,0.4,25.6,0.7,27.7,1,29.5,0.8
16-Oct-91,20.7,-0.1,25.5,0.6,27.8,1.1,29.6,1
23-Oct-91,21.2,0.2,25.7,0.8,27.6,0.9,29.4,0.7
30-Oct-91,21.9,0.7,25.9,1,27.8,1.1,29.4,0.8
6-Nov-91,22,0.7,25.8,0.9,27.8,1.1,29.5,0.8
13-Nov-91,21.9,0.4,25.9,1,27.8,1.1,29.5,0.9
20-Nov-91,22.5,0.7,26.1,1.1,27.9,1.3,29.4,0.8
27-Nov-91,22.3,0.3,26.1,1.1,28,1.4,29.4,0.9
4-Dec-91,22.8,0.5,26.2,1.1,28.1,1.5,29.4,0.9
11-Dec-91,23.4,0.8,26.5,1.4,28.3,1.7,29.4,0.9
18-Dec-91,23.7,0.8,26.6,1.5,28.5,2,29.5,1
25-Dec-91,23.6,0.3,26.7,1.4,28.5,1.9,29.6,1.2
1-Jan-92,24,0.3,26.7,1.3,28.5,1.9,29.3,1
8-Jan-92,24.2,0.2,26.8,1.3,28.5,1.9,29.2,0.9
15-Jan-92,24.6,0.2,26.9,1.3,28.4,1.9,29.1,0.8
22-Jan-92,25.3,0.5,27.1,1.3,28.4,1.8,29,0.7
29-Jan-92,25.9,0.7,27.4,1.4,28.3,1.7,28.7,0.6
5-Feb-92,26.3,0.8,27.5,1.3,28.4,1.7,28.8,0.7
12-Feb-92,26.4,0.5,27.6,1.3,28.6,1.9,29,0.9
19-Feb-92,26.8,0.6,27.8,1.3,28.8,2,29.2,1.1
26-Feb-92,27.3,1.1,27.9,1.2,28.8,1.9,29.1,1
4-Mar-92,27.3,1,27.9,1.1,28.6,1.6,29.1,0.9
11-Mar-92,27.7,1.2,28.1,1,28.7,1.6,29.2,1
18-Mar-92,27.9,1.4,28.5,1.3,28.8,1.6,28.9,0.7
25-Mar-92,28.1,1.9,28.7,1.4,29,1.6,29.1,0.8
1-Apr-92,27.9,1.9,28.7,1.3,29.1,1.6,29.4,1
8-Apr-92,28.3,2.6,28.8,1.4,29.3,1.6,29.6,1.2
15-Apr-92,28,2.5,28.8,1.3,29.2,1.4,29.5,1
22-Apr-92,27.1,1.9,28.6,1.2,29,1.2,29.3,0.8
